School_ID;Name;Places_19_20;Reg_19_20;Reg_ESB_19_20;Aufnahme_19_20;Ablehnung_19_20;Places_20_21;Reg_20_21;Reg_ESB_20_21;Aufnahme_20_21;Ablehnung_20_21
07G34;Marienfelder-Grundschule;125;90;64;64;;125;225;88;88;
07G35;Nahariya-Grundschule;100;70;51;51;;100;112;45;45;
07G36;Grundschule am Dielingsgrund;75;44;36;36;;75;85;43;43;
07G37;Ikarus-Grundschule;75;44;44;44;;75;100;63;63;
07K12;Gemeinschaftsschule Schöneberg;79;77;;;;73;87;33;33;
08G01;Rixdorfer-Schule;90;148;46;46;;100;142;76;76;
08G02;Theodor-Storm-Schule;74;136;13;13;;75;155;53;53;
08G03;Hans-Fallada-Schule;72;140;63;63;;98;147;78;78;
08G05;Elbe-Schule;48;114;23;23;;75;108;41;41;
08G06;Karl-Weise-Schule;68;92;37;37;;73;81;45;45;
08G07;Hermann-Boddin-Schule;83;99;29;29;;75;110;58;58;
08G08;Karlsgarten-Schule;80;130;71;71;;79;111;79;79;
08G09;Regenbogen-Schule;62;72;37;37;;70;82;54;54;
08G09;Regenbogen-Schule (SESB);24;;;;;24;;;;
08G11;Schliemann-Schule;82;91;52;52;;107;107;76;76;
08G12;Peter-Petersen-Schule;45;0;;;;48;0;;;
08G13;Bruno-Taut-Schule;100;236;65;65;;100;215;89;89;
08G14;Konrad-Agahd-Schule;50;84;43;43;;50;80;41;41;
08G15;Hermann-Sander-Schule;120;133;67;67;;125;132;74;74;
08G16;Hugo-Heimann-Schule;68;92;22;22;;70;93;45;45;
08G17;Richard-Schule;110;146;76;76;;124;142;93;93;
08G18;Eduard-Mörike-Schule;68;135;42;42;;75;130;42;42;
08G19;Herman-Nohl-Schule;40;70;36;36;;66;76;39;39;
08G19;Herman-Nohl-Schule (SESB);36;;;;;38;;;;
08G20;Sonnen-Schule;88;126;58;58;;100;98;62;62;
08G21;Silberstein-Schule;90;110;31;31;;96;144;80;80;
08G22;Schule am Regenweiher;70;59;20;20;;75;56;28;28;
08G23;Zürich-Schule;50;110;55;50;5;75;113;75;75;
08G24;Schule am Teltowkanal;81;120;54;54;;91;94;60;60;
08G25;Michael-Ende-Schule;72;53;40;40;;84;59;55;55;
08G26;Christoph-Ruden-Schule;46;93;19;19;;46;84;29;29;
08G27;Oskar-Heinroth-Schule;95;126;62;62;;104;125;87;87;
08G28;Matthias-Claudius-Schule;96;98;60;60;;96;107;79;79;
08G29;Wetzlar-Schule;71;61;35;35;;75;63;45;45;
08G30;Schule am Sandsteinweg;130;106;70;70;;130;100;93;93;
08G31;Janusz-Korczak-Schule;69;78;20;20;;75;71;33;33;
08G33;Schule am Fliederbusch;74;110;26;26;;72;105;59;59;
08G34;Lisa-Tetzner-Schule;67;121;49;49;;78;98;71;71;
08G35;Schule in der Köllnischen Heide;125;177;95;95;;125;171;114;114;
08G36;Löwenzahn-Schule;75;63;29;29;;75;72;29;29;
08G37;Rose-Oehmichen-Schule;50;63;38;38;;50;75;52;52;
08K01;Walter-Gropius-Schule;65;;;;;65;64;64;64;
08K02;Hermann-v-Helmholtz-Grundst;45;66;23;23;;75;78;52;52;
08K06;Fritz-Karsen-Schule;60;;;;;72;;;;
08K08;1.Gemeinschaftsschule Neukölln;71;;;;;82;;;;
08K13;Gemeinschaftsschule Campus Efeuweg;50;115;21;21;0;75;111;48;48;
09G01;Bouché-Schule;100;93;;;;125;105;;;
09G03;Schule am Heidekampgraben;102;95;;;;121;130;;;
09G04;Sonnenblumen-Schule;78;80;;;;78;111;;;
09G05;Schule am Ginkobaum;105;112;;;;104;123;;;
09G06;Melli-Beese-Schule;78;62;;;;78;100;;;
09G07;Schule an der alten Feuerwache;115;91;;;;137;149;;;
09G09;Heide-Schule;128;77;;;;109;113;;;
09G10;Schule am Berg;104;99;;;;104;127;;;
09G11;Schule am Pegasuseck;75;65;;;;125;122;;;
09G13;Schule am Altglienicker Wasserturm;78;57;;;;78;81;;;
09G14;Schule am Buntzelberg;104;95;;;;104;95;;;
09G15;Schule am Mohnweg;100;101;;;;104;125;;;
09G16;Wendenschloß-Schule;104;87;;;;104;102;;;
09G17;Uhlenhorst-Schule;105;91;;;;107;107;;;
09G18;Schule in der Köllnischen Vorstadt;92;68;;;;110;132;;;
09G19;Amtsfeld-Schule;104;78;;;;96;135;;;
09G20;Müggelheimer Schule;78;56;;;;78;56;;;
09G21;Edison-Grundschule;89;61;;;;110;94;;;
09G22;Schule an der Wuhlheide;150;132;;;;130;161;;;
09G23;Hauptmann-von-Köpenick-Schule;91;92;;;;88;117;;;
09G24;Müggelsee-Schule;91;82;;;;79;85;;;
09G25;Müggelschlößchen-Grundschule;78;54;;;;52;53;;;
09G26;Schule an den Püttbergen;106;95;;;;110;106;;;
09G27;Friedrichshagener Schule;104;88;;;;104;107;;;
09G29;Schmöckwitzer Insel-Schule;52;36;;;;52;65;;;
09G30;Kiefholz-Grundschule;60;77;;;;82;124;;;
09G31;31. Grundschule;;;;;;52;37;;;
09K02;Anna-Seghers-Schule;96;142;;;;96;133;;;
09K07;Sophie-Brahe-Schule;52;50;;;;51;56;;;
09K09;Grünauer Schule;80;88;;;;80;90;;;
10G03;Selma-Lagerlöf-Grundschule;88;69;84;11;2;65;79;44;22;14
10G04;Falken-Grundschule;67;41;53;5;1;80;47;35;12;
10G05;Ebereschen-Grundschule;79;59;45;15;7;48;53;44;5;4
10G07;Karl-Friedrich-Friesen-Grundschule;75;84;74;7;2;75;96;60;15;21
10G08;Wilhelm-Busch-Grundschule;111;99;85;18;10;100;90;82;8;
10G09;Grundschule am Bürgerpark;119;126;109;24;12;121;109;87;22;
10G10;Peter-Pan-Grundschule;92;92;84;12;7;96;73;61;12;
10G11;Grundschule an der Mühle;100;94;95;5;7;100;107;87;12;8
10G12;Grundschule an der Geißenweide;104;80;90;4;6;96;89;71;18;
10G13;Johann-Strauß-Grundschule;113;108;117;5;1;112;134;94;15;25
10G14;Grundschule unter dem Regenbogen;140;167;121;32;8;134;96;92;4;
10G16;Grundschule am Fuchsberg;104;103;105;10;;104;109;103;1;5
10G17;Beatrix-Potter-Grundschule;135;111;116;9;6;111;95;93;;2
10G18;Pusteblume-Grundschule;163;152;161;9;3;150;137;139;6;22
10G19;Bücherwurm-Grundschule;106;87;93;4;4;95;83;76;7;
10G21;W.-Amadeus-Mozart-Grundschule;125;140;92;41;16;79;122;115;1;6
10G22;Kolibri-Grundschule;150;132;115;13;4;150;159;135;12;12
10G25;Grundschule am Schleipfuhl;150;170;102;38;;115;123;120;;3
10G26;Friedrich-Schiller-Grundschule;52;64;51;5;;52;60;49;3;18
10G28;Grundschule am Hollerbusch;125;145;119;26;4;125;123;103;9;11
10G29;Grundschule an der Wuhle;135;135;116;17;7;151;144;139;2;3
10G30;Mahlsdorfer-Grundschule;105;104;105;3;;88;91;81;4;6
10G31;Franz-Carl-Archard-Grundschule;69;76;68;3;1;72;54;39;15;
10G32;Kiekemal-Grundschule;104;94;90;7;;130;121;108;3;10
10G33;Ulmen-Grundschule;107;96;96;9;1;108;99;86;13;
10G34;Schule am grünen Stadtrand;48;43;40;11;1;48;54;46;2;6
10K10;Gretel-Bergmann-Gemeinschaftsschule;102;78;92;4;10;72;94;70;24;
10K11;Marcana-Schule (Gemeinschaftsschule);72;72;52;28;3;110;54;40;14;
11G01;Sonnenuhr-Schule;75;98;65;65;;75;86;85;70;
11G02;Schule am Roederplatz;125;132;46;46;;192;124;100;92;
11G03;Schule im Gutspark;75;72;42;42;;75;99;87;75;
11G05;Schule auf dem lichten Berg;135;167;104;104;;325;198;187;129;
11G06;Adam-Ries-Schule;107;119;81;81;;250;115;114;88;
11G07;Hermann-Gmeiner-Schule;125;158;90;90;;100;157;68;68;
11G08;Robinson-Schule;96;121;71;71;;52;65;52;48;
11G09;Bürgermeister-Ziethen-Schule;125;142;100;100;;125;156;115;115;
11G10;Schule im Ostseekarree;87;142;75;75;;200;184;131;93;
11G11;Bernhard-Grzimek-Schule;90;102;48;48;;161;82;64;62;
11G12;Lew-Tolstoi-Schule (incl. SESB);130;166;69;69;;156;127;75;73;
11G13;Karlshorster Schule;150;212;134;134;;175;257;174;103;
11G14;Richard-Wagner-Schule;104;113;88;88;;104;143;111;104;
11G16;Schule an der Victoriastadt;120;159;104;104;;120;147;131;119;
11G17;Brodowin-Schule;155;187;126;126;;300;190;189;149;
11G18;Schule am Wilhelmsberg;145;173;117;117;;150;197;175;151;
11G19;Obersee-Schule;31;56;43;32;11;120;107;78;75;
11G21;Schule am Faulen See;50;109;85;44;41;100;100;84;84;
11G22;Martin-Niemöller-Schule;130;161;89;89;;72;118;106;72;
11G23;Friedrichsfelder Schule;40;95;52;34;18;125;87;70;70;
11G25;Schule am Wäldchen;100;154;95;95;;78;134;102;78;
11G26;Randow-Schule;57;90;60;60;;150;107;100;98;
11G28;Feldmark-Schule;125;152;109;109;;125;139;127;123;
11G29;Matibi-Schule;175;210;167;167;;125;245;234;130;
11G31;31. Schule;51;118;81;51;30;125;104;85;84;
11G32;Hans-Rosenthal-Grundschule;100;144;80;80;;100;150;147;105;
11G33;33. Grundschule;26;18;14;14;;26;32;16;16;
11G34;34. Grundschule (Neugründung 2019);75;;;;;100;154;118;118;
11G35;35. Grundschule (Neugründung 2019);100;;;;;96;137;112;95;
11K10;Grüner Campus Malchow (GemS);130;100;;;;312;136;62;57;
11K12;Paul-und-Charlotte-Kniese-Schule (GemS);42;40;;;;138;82;68;68;
12G01;Havelmüller-Grundschule;58;44;40;40;;50;70;61;37;
12G02;Grundschule am Schäfersee;75;68;60;60;;75;121;99;79;
12G03;Reginhard-Grundschule;69;74;61;61;;72;105;96;72;10
12G04;Till-Eulenspiegel-Grundschule;75;87;33;33;;75;98;48;41;
12G05;Kolumbus-Grundschule;120;139;102;102;;138;169;140;112;
