,SchulNr,Unnamed: 1,Name,Unnamed: 3,Schulart,Unnamed: 5,Bezirk,Unnamed: 7,Ortsteil,Unnamed: 9,Unnamed: 10,url
174,02G12,,Kurt-Schumacher-Grundschule,,Grundschule,,Friedrichshain-Kreuzberg,,Kreuzberg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21396
175,02E39,,f/16 Schule für Fotografie,,Sonstige Ergänzungsschule,,Friedrichshain-Kreuzberg,,Kreuzberg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=22537
176,12G06,,Hausotter-Grundschule,,Grundschule,,Reinickendorf,,Reinickendorf,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=22003
177,02G19,,Fanny-Hensel-Grundschule,,Grundschule,,Friedrichshain-Kreuzberg,,Kreuzberg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21764
178,03G37,,Klecks-Grundschule,,Grundschule,,Pankow,,Pankow,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=22162
179,03E17,,"Schule für Bildende Kunst und Gestaltung, Andrei Krioukov GmbH",,Künstlerische Schule,,Pankow,,Prenzlauer Berg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21493
180,01E31,,Maskenbildnerschule Hasso von Hugo GmbH,,Künstlerische Schule,,Mitte,,Tiergarten,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=22518
181,12K05,,Gustav-Freytag-Schule (Integrierte Sekundarschule),,Integrierte Sekundarschule,,Reinickendorf,,Reinickendorf,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21893
182,03G46,,Grundschule im Eliashof,,Grundschule,,Pankow,,Prenzlauer Berg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21805
183,02P26,,VIA Bildungszentrum für Pflegeberufe,,Berufsfachschule,,Friedrichshain-Kreuzberg,,Kreuzberg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=22501
184,02P19,,FORUM Berufsbildung e.V.,,Kombinierte berufliche Schule,,Friedrichshain-Kreuzberg,,Kreuzberg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21661
185,02P19,,FORUM Berufsbildung e.V.,,Kombinierte berufliche Schule,,Friedrichshain-Kreuzberg,,Kreuzberg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21662
186,02E30,,FORUM Berufsbildung e.V.,,Sonstige Ergänzungsschule,,Friedrichshain-Kreuzberg,,Kreuzberg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=22030
187,03E19,,Professional Teachers Academy of Dance,,Künstlerische Schule,,Pankow,,Prenzlauer Berg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=22468
