,SchulNr,Unnamed: 1,Name,Unnamed: 3,Schulart,Unnamed: 5,Bezirk,Unnamed: 7,Ortsteil,Unnamed: 9,Unnamed: 10,url
292,03P28,,Platanus Schule Berlin (Gemeinschaftsschule),,Gemeinschaftsschule,,Pankow,,Pankow,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=22114
293,04E05,,Winkels Akademie GmbH,,Kosmetikschule,,Charlottenburg-Wilmersdorf,,Charlottenburg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=22271
294,04E01,,Lichtenberg-Kolleg e.V.,,Vorbereitungsschule auf Fremdenprüfung,,Charlottenburg-Wilmersdorf,,Charlottenburg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21731
295,04S02,,Arno-Fuchs-Schule,,"Förderschwerp. ""Geistige Entwicklung""",,Charlottenburg-Wilmersdorf,,Charlottenburg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21554
296,02P12,,KreativitätsGrundschule Berlin Friedrichshain,,Grundschule,,Friedrichshain-Kreuzberg,,Friedrichshain,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21279
297,03P20,,SchuleEins (Gemeinschaftsschule),,Gemeinschaftsschule,,Pankow,,Pankow,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21541
298,07K01,,Sophie-Scholl-Schule,,Integrierte Sekundarschule,,Tempelhof-Schöneberg,,Schöneberg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21538
299,04P09,,IFAG Institut für angewandte Gerontologie,,Berufsfachschule,,Charlottenburg-Wilmersdorf,,Charlottenburg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21570
300,04G01,,Eichendorff-Grundschule,,Grundschule,,Charlottenburg-Wilmersdorf,,Charlottenburg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=22384
301,03P21,,Freie Integrative Montessori Grundschule Pankow,,Grundschule,,Pankow,,Pankow,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21347
302,07G03,,Werbellinsee-Grundschule,,Grundschule,,Tempelhof-Schöneberg,,Schöneberg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21490
303,03B08,,Staatliche Ballettschule Berlin und Schule für Artistik,,Kombinierte allg./berufl. Schule,,Pankow,,Prenzlauer Berg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21796
304,03B08,,Staatliche Ballettschule Berlin und Schule für Artistik,,Kombinierte allg./berufl. Schule,,Pankow,,Prenzlauer Berg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21797
305,03B08,,Staatliche Ballettschule Berlin und Schule für Artistik,,Kombinierte allg./berufl. Schule,,Pankow,,Prenzlauer Berg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21798
306,07P03,,Lette-Verein Stiftung des öffentlichen Rechts,,Kombinierte berufliche Schule,,Tempelhof-Schöneberg,,Schöneberg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21535
307,07P03,,Lette-Verein Stiftung des öffentlichen Rechts,,Kombinierte berufliche Schule,,Tempelhof-Schöneberg,,Schöneberg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21536
308,07P03,,Lette-Verein Stiftung des öffentlichen Rechts,,Kombinierte berufliche Schule,,Tempelhof-Schöneberg,,Schöneberg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21537
309,02B02,,Hans-Böckler-Schule (OSZ Konstruktionsbautechnik),,Oberstufenzentrum,,Friedrichshain-Kreuzberg,,Kreuzberg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21973
310,02B02,,Hans-Böckler-Schule (OSZ Konstruktionsbautechnik),,Oberstufenzentrum,,Friedrichshain-Kreuzberg,,Kreuzberg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21974
311,02B02,,Hans-Böckler-Schule (OSZ Konstruktionsbautechnik),,Oberstufenzentrum,,Friedrichshain-Kreuzberg,,Kreuzberg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21975
312,07G13,,Neumark-Grundschule,,Grundschule,,Tempelhof-Schöneberg,,Schöneberg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21395
313,03P27,,Klax Berufsakademie,,Kombinierte berufliche Schule,,Pankow,,Weißensee,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=22229
314,03P27,,Klax Berufsakademie,,Kombinierte berufliche Schule,,Pankow,,Weißensee,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=22230
315,04E13,,Ballett Centrum Kurfürstendamm Karree Musical Schule,,Künstlerische Schule,,Charlottenburg-Wilmersdorf,,Charlottenburg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21499
316,04E42,,tanzloft berlin,,Künstlerische Schule,,Charlottenburg-Wilmersdorf,,Charlottenburg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=22197
317,03G39,,Grundschule Wolkenstein,,Grundschule,,Pankow,,Pankow,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21965
318,04G04,,Joan-Miró-Grundschule,,Grundschule,,Charlottenburg-Wilmersdorf,,Charlottenburg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21585
319,02E36,,AID Berlin Akademie für Illustration und Design Berlin GmbH,,Künstlerische Schule,,Friedrichshain-Kreuzberg,,Kreuzberg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=22487
320,02E10,,DIE ETAGE - Schule für die darstellenden und bildenden Künste e.V.,,Künstlerische Schule,,Friedrichshain-Kreuzberg,,Kreuzberg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=22280
321,07E08,,Ilse-Middendorf-Institut für den Erfahrbaren Atem,,Heilpraktikerschule,,Tempelhof-Schöneberg,,Schöneberg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21865
322,02G36,,Blumen-Grundschule,,Grundschule,,Friedrichshain-Kreuzberg,,Friedrichshain,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=22556
323,02G36,,Blumen-Grundschule,,Grundschule,,Friedrichshain-Kreuzberg,,Friedrichshain,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=22557
324,03G06,,Bötzow-Grundschule,,Grundschule,,Pankow,,Prenzlauer Berg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21600
325,04B03,,OSZ Kraftfahrzeugtechnik,,Oberstufenzentrum,,Charlottenburg-Wilmersdorf,,Charlottenburg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=22368
326,04B03,,OSZ Kraftfahrzeugtechnik,,Oberstufenzentrum,,Charlottenburg-Wilmersdorf,,Charlottenburg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=22369
327,04B03,,OSZ Kraftfahrzeugtechnik,,Oberstufenzentrum,,Charlottenburg-Wilmersdorf,,Charlottenburg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=22370
328,04B03,,OSZ Kraftfahrzeugtechnik,,Oberstufenzentrum,,Charlottenburg-Wilmersdorf,,Charlottenburg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=22371
329,03Y10,,Rosa-Luxemburg-Gymnasium,,Gymnasium,,Pankow,,Pankow,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=22027
330,02S03,,Margarethe-von-Witzleben-Schule,,Übrige Förderschwerpunkte,,Friedrichshain-Kreuzberg,,Friedrichshain,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21596
331,04E47,,MediPoint-Schule für Medizin und Altenpflege,,Sonstige Ergänzungsschule,,Charlottenburg-Wilmersdorf,,Charlottenburg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=22032
332,07G12,,Scharmützelsee-Grundschule,,Grundschule,,Tempelhof-Schöneberg,,Schöneberg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21814
333,07K06,,Georg-von-Giesche-Schule,,Integrierte Sekundarschule,,Tempelhof-Schöneberg,,Schöneberg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21337
334,02G01,,Spartacus-Grundschule,,Grundschule,,Friedrichshain-Kreuzberg,,Friedrichshain,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21602
335,02E18,,Schule für F.M. Alexander-Technik,,Sonstige Ergänzungsschule,,Friedrichshain-Kreuzberg,,Kreuzberg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=22130
336,03G28,,Hasengrund-Schule (Grundschule),,Grundschule,,Pankow,,Niederschönhausen,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21982
337,07G18,,Grundschule am Barbarossaplatz,,Grundschule,,Tempelhof-Schöneberg,,Schöneberg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21331
338,07G18,,Grundschule am Barbarossaplatz,,Grundschule,,Tempelhof-Schöneberg,,Schöneberg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21332
339,12G29,,Hermann-Schulz-Grundschule,,Grundschule,,Reinickendorf,,Reinickendorf,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=22183
340,03E08,,Education GmbH,,Sonstige Ergänzungsschule,,Pankow,,Prenzlauer Berg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=22274
341,04E02,,DIDACTICA GmbH,,Wirtschafts- und Verwaltungsschule,,Charlottenburg-Wilmersdorf,,Charlottenburg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=22189
342,04G12,,Schinkel-Grundschule,,Grundschule,,Charlottenburg-Wilmersdorf,,Charlottenburg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21503
343,04P37,,Campus Berufsbildung e.V.,,Berufsfachschule,,Charlottenburg-Wilmersdorf,,Charlottenburg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=22534
344,04E51,,CampusHealth Service GmbH,,Sonstige Ergänzungsschule,,Charlottenburg-Wilmersdorf,,Charlottenburg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=22514
345,04E52,,Campus & more GmbH,,Sonstige Ergänzungsschule,,Charlottenburg-Wilmersdorf,,Charlottenburg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=22515
346,02G31,,Adolf-Glaßbrenner-Grundschule,,Grundschule,,Friedrichshain-Kreuzberg,,Kreuzberg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=22390
347,02P32,,sfe Schule für Erwachsenenbildung e.V.,,Kolleg,,Friedrichshain-Kreuzberg,,Kreuzberg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=22671
348,03G01,,Schule am Hamburger Platz (Grundschule),,Grundschule,,Pankow,,Weißensee,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=22174
349,07P02,,Pestalozzi-Fröbel-Haus,,Kombinierte berufliche Schule,,Tempelhof-Schöneberg,,Schöneberg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21532
350,07P02,,Pestalozzi-Fröbel-Haus,,Kombinierte berufliche Schule,,Tempelhof-Schöneberg,,Schöneberg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21533
351,07P02,,Pestalozzi-Fröbel-Haus,,Kombinierte berufliche Schule,,Tempelhof-Schöneberg,,Schöneberg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21534
352,03B07,,Elinor-Ostrom-Schule (OSZ Bürowirtschaft und Dienstleistungen),,Oberstufenzentrum,,Pankow,,Prenzlauer Berg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=22275
353,03B07,,Elinor-Ostrom-Schule (OSZ Bürowirtschaft und Dienstleistungen),,Oberstufenzentrum,,Pankow,,Prenzlauer Berg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=22276
354,03B07,,Elinor-Ostrom-Schule (OSZ Bürowirtschaft und Dienstleistungen),,Oberstufenzentrum,,Pankow,,Prenzlauer Berg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=22277
355,03B07,,Elinor-Ostrom-Schule (OSZ Bürowirtschaft und Dienstleistungen),,Oberstufenzentrum,,Pankow,,Prenzlauer Berg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=22278
356,03B07,,Elinor-Ostrom-Schule (OSZ Bürowirtschaft und Dienstleistungen),,Oberstufenzentrum,,Pankow,,Prenzlauer Berg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=22279
357,02G13,,Charlotte-Salomon-Grundschule,,Grundschule,,Friedrichshain-Kreuzberg,,Kreuzberg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21397
358,03B06,,Konrad-Zuse-Schule,,Berufsschule mit sonderpäd. Aufgaben,,Pankow,,Niederschönhausen,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=22328
359,03B06,,Konrad-Zuse-Schule,,Berufsschule mit sonderpäd. Aufgaben,,Pankow,,Niederschönhausen,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=22329
360,03B06,,Konrad-Zuse-Schule,,Berufsschule mit sonderpäd. Aufgaben,,Pankow,,Niederschönhausen,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=22330
361,04K06,,Schule am Schloss (Integrierte Sekundarschule),,Integrierte Sekundarschule,,Charlottenburg-Wilmersdorf,,Charlottenburg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21609
362,03G32,,Grundschule an den Buchen,,Grundschule,,Pankow,,Niederschönhausen,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=22042
363,12P21,,Berufsfachschule für Altenpflege,,Berufsfachschule,,Reinickendorf,,Reinickendorf,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=22664
364,02K04,,Lina-Morgenstern-Schule (Gemeinschaftsschule),,Gemeinschaftsschule,,Friedrichshain-Kreuzberg,,Kreuzberg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21962
365,02Y01,,Andreas-Gymnasium,,Gymnasium,,Friedrichshain-Kreuzberg,,Friedrichshain,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21876
366,04E17,,Akademie für Fremdsprachen GmbH,,Sprachenschule,,Charlottenburg-Wilmersdorf,,Charlottenburg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=22381
367,02G20,,Bürgermeister-Herz-Grundschule,,Grundschule,,Friedrichshain-Kreuzberg,,Kreuzberg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21874
368,04Y03,,Sophie-Charlotte-Gymnasium,,Gymnasium,,Charlottenburg-Wilmersdorf,,Charlottenburg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=22138
369,12K03,,Max-Beckmann-Schule (Integrierte Sekundarschule),,Integrierte Sekundarschule,,Reinickendorf,,Reinickendorf,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21892
370,02K01,,Ellen-Key-Schule,,Integrierte Sekundarschule,,Friedrichshain-Kreuzberg,,Friedrichshain,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21581
371,03G34,,Mendel-Grundschule,,Grundschule,,Pankow,,Pankow,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21988
372,04A04,,Charlotte-Wolff-Kolleg,,Volkshochschul-Kolleg,,Charlottenburg-Wilmersdorf,,Charlottenburg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=22083
373,03K05,,Heinz-Brandt-Schule,,Integrierte Sekundarschule,,Pankow,,Weißensee,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21970
374,02G18,,Nürtingen-Grundschule,,Grundschule,,Friedrichshain-Kreuzberg,,Kreuzberg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21873
375,03G12,,Paul-Lincke-Grundschule,,Grundschule,,Pankow,,Prenzlauer Berg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21511
376,02E34,,Sabine Roth-Ballettschule,,Künstlerische Schule,,Friedrichshain-Kreuzberg,,Kreuzberg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=22350
377,04B05,,Anna-Freud-Schule (OSZ Sozialwesen),,Oberstufenzentrum,,Charlottenburg-Wilmersdorf,,Charlottenburg-Nord,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21504
378,04B05,,Anna-Freud-Schule (OSZ Sozialwesen),,Oberstufenzentrum,,Charlottenburg-Wilmersdorf,,Charlottenburg-Nord,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21505
379,04B05,,Anna-Freud-Schule (OSZ Sozialwesen),,Oberstufenzentrum,,Charlottenburg-Wilmersdorf,,Charlottenburg-Nord,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21506
380,04B05,,Anna-Freud-Schule (OSZ Sozialwesen),,Oberstufenzentrum,,Charlottenburg-Wilmersdorf,,Charlottenburg-Nord,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21507
381,04B05,,Anna-Freud-Schule (OSZ Sozialwesen),,Oberstufenzentrum,,Charlottenburg-Wilmersdorf,,Charlottenburg-Nord,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21508
382,04B05,,Anna-Freud-Schule (OSZ Sozialwesen),,Oberstufenzentrum,,Charlottenburg-Wilmersdorf,,Charlottenburg-Nord,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21509
383,04E04,,Kosmetikschule Berlin,,Kosmetikschule,,Charlottenburg-Wilmersdorf,,Charlottenburg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=22396
384,07P20,,Rudolf Steiner Bildungszentrum gGmbH,,Kombinierte berufliche Schule,,Tempelhof-Schöneberg,,Schöneberg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=22641
385,07P20,,Rudolf Steiner Bildungszentrum gGmbH,,Kombinierte berufliche Schule,,Tempelhof-Schöneberg,,Schöneberg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=22642
386,07P20,,Rudolf Steiner Bildungszentrum gGmbH,,Kombinierte berufliche Schule,,Tempelhof-Schöneberg,,Schöneberg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=22643
387,07P18,,Johannes-Schule Berlin,,Freie Waldorfschule,,Tempelhof-Schöneberg,,Schöneberg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=22599
388,03K07,,Tesla-Schule (Gemeinschaftsschule),,Gemeinschaftsschule,,Pankow,,Prenzlauer Berg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21835
389,04G09,,Erwin-von-Witzleben-Grundschule,,Grundschule,,Charlottenburg-Wilmersdorf,,Charlottenburg-Nord,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21853
390,07G14,,Löcknitz-Grundschule,,Grundschule,,Tempelhof-Schöneberg,,Schöneberg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21815
391,02E29,,SPRACHwerk,,Sprachenschule,,Friedrichshain-Kreuzberg,,Kreuzberg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=22250
392,02G33,,Aziz-Nesin-Grundschule,,Grundschule,,Friedrichshain-Kreuzberg,,Kreuzberg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=22224
393,04P10,,Katholische Schule Sankt Ludwig (Grundschule),,Grundschule,,Charlottenburg-Wilmersdorf,,Wilmersdorf,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21269
394,04G25,,Cecilien-Schule (Grundschule),,Grundschule,,Charlottenburg-Wilmersdorf,,Wilmersdorf,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21910
395,02G22,,Jens-Nydahl-Grundschule,,Grundschule,,Friedrichshain-Kreuzberg,,Kreuzberg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21582
396,02G21,,Reinhardswald-Grundschule,,Grundschule,,Friedrichshain-Kreuzberg,,Kreuzberg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21879
397,02S02,,Gustav-Meyer-Schule,,"Förderschwerp. ""Geistige Entwicklung""",,Friedrichshain-Kreuzberg,,Kreuzberg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21595
398,03Y17,,Gymnasium am Europasportpark,,Gymnasium,,Pankow,,Prenzlauer Berg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=22596
399,02P09,,Freie Schule Kreuzberg (Grundschule),,Grundschule,,Friedrichshain-Kreuzberg,,Kreuzberg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21905
400,02E15,,TREND-Schule,,Sonstige Ergänzungsschule,,Friedrichshain-Kreuzberg,,Kreuzberg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=22343
401,02Y06,,Leibniz-Gymnasium,,Gymnasium,,Friedrichshain-Kreuzberg,,Kreuzberg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21614
402,03K04,,Gustave-Eiffel-Schule,,Integrierte Sekundarschule,,Pankow,,Prenzlauer Berg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=22055
403,02P29,,Kenntnisreich gGmbH,,Fachschule,,Friedrichshain-Kreuzberg,,Kreuzberg,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=22660
404,04G17,,Johann-Peter-Hebel-Grundschule,,Grundschule,,Charlottenburg-Wilmersdorf,,Wilmersdorf,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=22456
